Cell ID,Birth Frame
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,2
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,4
315,4
316,4
317,4
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,6
331,6
332,6
333,6
334,7
335,7
336,7
337,7
338,7
339,8
340,8
341,8
342,8
343,8
344,8
345,9
346,9
347,9
348,9
349,10
350,10
351,10
352,11
353,11
354,11
355,11
356,12
357,12
358,13
359,13
360,13
361,13
362,13
363,13
364,14
365,14
366,14
367,14
368,14
369,14
370,15
371,16
372,16
373,16
374,16
375,16
376,16
377,16
378,17
379,17
380,17
381,17
382,18
383,18
384,18
385,18
386,18
387,19
388,19
389,19
390,20
391,20
392,20
393,21
394,21
395,21
396,21
397,22
398,22
399,22
400,22
401,22
402,22
403,22
404,22
405,22
406,22
407,22
408,23
409,23
410,24
411,24
412,24
413,24
414,24
415,24
416,25
417,25
418,25
419,26
420,26
421,26
422,26
423,27
424,27
425,27
426,27
427,28
428,28
429,28
430,28
431,28
432,28
433,29
434,29
435,29
436,30
437,30
438,30
439,30
440,30
441,31
442,31
443,31
444,31
445,32
446,32
447,32
448,32
449,32
450,32
451,32
452,32
453,32
454,32
455,32
456,33
457,33
458,33
459,33
460,33
461,33
462,34
463,34
464,34
465,34
466,34
467,34
468,34
469,35
470,35
471,35
472,35
473,35
474,35
475,35
476,35
477,35
478,36
479,36
480,36
481,36
482,38
483,38
484,39
485,39
486,39
487,39
488,39
489,40
490,40
491,40
492,40
493,42
494,43
495,43
496,43
497,44
498,44
499,44
500,44
501,45
502,45
503,45
504,45
505,45
506,46
507,46
508,46
509,46
510,47
511,47
512,47
513,47
514,47
515,48
516,49
517,49
518,49
519,49
520,50
521,50
522,50
523,50
524,50
525,51
526,51
527,51
528,52
529,52
530,52
531,53
532,54
533,55
534,55
535,55
536,56
537,56
538,57
539,57
540,57
541,57
542,58
543,58
544,58
545,59
546,59
547,60
548,60
549,60
550,60
551,60
552,60
553,61
554,61
555,61
556,61
557,62
558,62
559,63
560,63
561,63
562,63
563,63
564,64
565,65
566,65
567,65
568,65
569,66
570,66
571,66
572,67
573,67
574,67
575,67
576,68
577,68
578,68
579,68
580,69
581,69
582,69
583,69
584,69
585,69
586,69
587,69
588,69
589,69
590,70
591,70
592,71
593,71
594,71
595,71
596,72
597,73
598,73
599,73
600,73
